f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,kategori
-0.05376743,0.186151,1.1708711,-0.11618368,0.36144865,-1.3664701,-0.26135534,-0.6535147,0.025357144,-1.0324377,-0.5931911,-0.6140535,-0.020554248,-1.0061011,-0.27884617,0.92132235,-0.77773917,-0.7106954,-0.3399224,0.33451214,-0.8040362,0.13591982,0.14145997,-0.4471792,0.4855033,-0.009361713,1.3417282,-0.8601795,0.4212392,-0.2696169,-0.70505685,0.2538382,-0.25773343,0.4175361,-1.3865993,-0.35724777,0.4188685,0.3485748,1.0531061,0.51498,-0.43689668,-0.08069594,0.40177256,0.013958689,-0.22550325,0.0013684197,0.76445466,-0.22277205,-0.5027197,-0.086069666,0.43481684,1.522519,-0.4055604,-0.9828571,1.1120363,-0.49694097,Bola
-0.13584949,-0.043743454,0.5880184,0.16620123,0.20774193,-0.8273464,0.17496012,-0.7354002,-0.14798571,-0.45466894,-0.6545957,-0.13747688,-0.114301,-0.79684365,-0.027719533,0.81155133,-0.3377107,0.012122991,-0.12285249,0.1574092,0.005730051,0.5123569,0.030924866,-0.2278115,0.57465583,-0.14011846,0.92241013,0.30663744,0.3016391,0.018195909,-0.70081687,0.15113227,0.27092418,0.21581897,-1.3485425,-0.1876057,0.5274942,-0.19064724,0.7958501,-0.0554899,-0.34286076,-0.27412307,0.45242706,0.32193017,-0.07835707,0.15062319,0.5314341,0.05228938,-0.17964092,-0.00408085,0.34739843,0.69123024,-0.43772757,-0.24780665,0.48090413,-0.53912586,Megapolitan
-0.1138674,-0.12919497,0.5343833,0.2167285,0.21092999,-0.7990773,0.063506454,-0.7074874,-0.2748018,-0.5374612,-0.88376623,-0.065327026,-0.005075842,-0.70409083,-0.04608312,0.9447895,-0.39409673,-0.13010736,-0.14025722,0.18244644,0.039698265,0.6115774,-0.045796774,-0.16073143,0.45355386,-0.18848741,0.7683851,0.29360396,0.09146139,-0.0037103284,-0.69664586,0.16369204,0.10197419,0.09598474,-1.2602141,-0.17343795,0.57133913,-0.22054829,0.75389004,0.055346444,-0.43520346,-0.36751312,0.44995758,0.36446917,-0.18233672,0.23946212,0.47488186,0.26883116,-0.32396317,-0.04782124,0.29705256,0.7351172,-0.12052559,-0.26002154,0.44346836,-0.3382066,Money
-0.13909662,-0.050422728,0.55936563,0.23999399,0.24088953,-0.66979146,0.006319502,-0.84563935,-0.28577986,-0.5894358,-0.6446929,-0.19915752,-0.013525434,-0.7540032,-0.100875475,0.84410036,-0.36935252,-0.03229546,-0.050963122,0.09712639,-0.071421996,0.4097585,0.048671328,-0.39723343,0.5359695,-0.25175685,0.8847528,0.20662376,0.20949581,0.023520172,-0.78890467,0.25081784,0.20589213,0.19352503,-1.306048,-0.24529164,0.510983,-0.10782031,0.7922744,0.07376587,-0.38875178,-0.30273023,0.43848518,0.30468214,-0.016669918,0.15770997,0.5353675,0.14226443,-0.1641297,0.13995942,0.268682,0.79561466,-0.22974761,-0.28480047,0.57224584,-0.5013077,Nasional
-0.12832472,-0.20336348,0.53823465,0.23120402,0.15299737,-0.75883853,0.12250336,-0.7352694,-0.3007342,-0.47844222,-0.96163523,-0.10538893,-0.022439752,-0.7125195,0.00052412937,1.002665,-0.4294931,-0.15227853,-0.20858636,0.15433827,0.01580155,0.6568536,-0.07414379,-0.12522686,0.4980491,-0.15027744,0.74436533,0.27827704,0.10917566,-0.098910466,-0.85692984,0.10421982,0.06909542,0.010118939,-1.3544143,-0.19853391,0.66523993,-0.20334978,0.7966227,-0.050751626,-0.43535045,-0.36177027,0.4259699,0.42235175,-0.2848206,0.31265613,0.43796536,0.25609925,-0.42656323,-0.047382396,0.3137144,0.8289173,-0.036590457,-0.25230885,0.40911758,-0.25937054,Nasional
0.065331474,0.35068372,1.5063131,-0.38365796,0.44916096,-1.7240113,-0.5340373,-0.62315255,0.12561469,-1.3719271,-0.52595955,-0.9348122,0.11786961,-1.1144735,-0.4443714,1.082053,-1.043036,-1.1363336,-0.53830653,0.4196734,-1.2679094,-0.16420923,0.24561389,-0.5139554,0.44205263,-0.06483401,1.6769308,-1.4761856,0.48147127,-0.39380944,-0.717787,0.30288753,-0.63968545,0.59509045,-1.4575632,-0.52216506,0.29859176,0.7018386,1.2140299,0.88109654,-0.5259545,0.022206174,0.38928303,-0.18465814,-0.21780138,-0.08917524,1.0126256,-0.30949828,-0.7076013,-0.10808006,0.4780127,2.0095272,-0.42494813,-1.436037,1.5515754,-0.35723194,Bola
-0.00122069,0.23395102,1.128835,-0.22719212,0.31859022,-1.3234752,-0.31983092,-0.54471177,0.07781894,-1.0075455,-0.6156394,-0.62061447,0.03242887,-0.89667803,-0.2690435,0.91087383,-0.7638302,-0.81891537,-0.42313102,0.33606842,-0.84933645,0.03089736,0.104550935,-0.37970963,0.35644403,-0.10428095,1.3383253,-1.0180324,0.38575414,-0.29760474,-0.5553756,0.24069414,-0.39089516,0.37154427,-1.2008603,-0.40443555,0.31351733,0.45803708,0.9509867,0.56599456,-0.417201,-0.041861076,0.31109506,-0.052987747,-0.2071371,-0.016851015,0.78136724,-0.19259866,-0.5342103,-0.18196984,0.41842106,1.565587,-0.2874562,-1.025625,1.065796,-0.31117892,Bola
-0.16258664,-0.30407777,0.59457475,0.29451406,0.14350419,-0.750824,0.2251725,-0.9394503,-0.3734696,-0.51119083,-1.029219,-0.15640517,-0.048839837,-0.77354753,-0.030009722,1.1553781,-0.45744798,-0.10747584,-0.18621472,0.11648248,0.031449184,0.7242246,-0.06363406,-0.19806287,0.6138075,-0.19479749,0.87667686,0.32821545,0.13423017,-0.13179436,-1.0609602,0.1032358,0.16691956,-0.027694969,-1.6290545,-0.23008835,0.8247897,-0.19369282,0.96516377,-0.13102274,-0.47633806,-0.3786751,0.4780129,0.5311306,-0.2858531,0.35126323,0.47664338,0.25093278,-0.43391073,0.042763703,0.38314342,0.95061123,-0.0071197106,-0.23918946,0.45951054,-0.34419498,Money
-0.09659328,-0.058905136,0.5660526,0.12181138,0.21402274,-0.9610042,0.14740868,-0.6446332,-0.08237095,-0.43345612,-0.76638645,-0.07983067,-0.058189575,-0.83164805,0.050284196,0.83451295,-0.3464098,-0.059847075,-0.20751831,0.23348925,0.051796604,0.5893366,0.0171456,-0.112788975,0.6253616,-0.11969124,0.8654681,0.41376624,0.3206489,0.029036164,-0.65247005,0.11242418,0.23328404,0.22418977,-1.320983,-0.15479088,0.5251381,-0.2969102,0.7405552,-0.0813095,-0.4012613,-0.30943725,0.4729738,0.31028467,-0.16170903,0.21104555,0.5631856,0.124594346,-0.24764432,-0.10455523,0.30875617,0.61639726,-0.4824633,-0.2695706,0.44104347,-0.42189303,Regional
-0.06593394,-0.017940855,0.5742579,0.04222221,0.17998675,-0.7309227,-0.0441389,-0.499494,-0.09819408,-0.49850738,-0.504233,-0.23411891,-0.014644109,-0.59398586,-0.1005685,0.6572006,-0.38585085,-0.25136468,-0.14489281,0.16730195,-0.20967177,0.29056013,0.017616695,-0.20274094,0.34593788,-0.09551809,0.7559681,-0.12045846,0.19069712,-0.10836314,-0.51990527,0.11416956,-0.014741173,0.15680952,-0.95144314,-0.19726045,0.37104625,0.053074885,0.6435583,0.12612145,-0.30276892,-0.18399039,0.27829364,0.17024322,-0.1468466,0.088835135,0.40876535,0.03707686,-0.27680513,-0.020435356,0.25770307,0.75717705,-0.17757636,-0.40548676,0.52171147,-0.31007266,Tekno
