DOI,Title,Abstract,URL
10.1007/s44174-025-00279-4,Exploring Multimodal Framework of Optimized Feature-Based Machine Learning to Revolutionize the Diagnosis of Parkinson’s Disease: AI-Driven Insights,"Parkinson’s disease (PD), a progressive neurodegenerative disorder, poses significant challenges to healthcare systems worldwide due to its increasing prevalence and need for early detection to improve patient outcomes. This study introduces a robust diagnostic framework leveraging a multimodal feature selection approach, combining Minimum Redundancy Maximum Relevance (mRMR) with Recursive Feature Elimination (RFE), to optimize predictive accuracy in detecting PD. Using a dataset of 894 instances from the UCI Machine Learning Repository, the framework implemented comprehensive data preprocessing and feature selection techniques to refine input features. The Extra Trees classifier, integrated with the mRMR-RFE multimodal feature selection method, demonstrated superior performance over nine other machine learning models, achieving a perfect accuracy of 100%, with high specificity, sensitivity, precision, and F1 scores. This framework highlights the efficacy of ensemble learning methods and feature optimization in healthcare, ensuring computational efficiency and high predictive reliability. By addressing the challenges of dimensionality reduction and ensuring precise predictions, the proposed model sets a benchmark for machine learning applications in PD diagnosis. The results emphasize the potential of this framework to facilitate early detection and support clinical decision making, with significant implications for advancing AI-driven healthcare systems.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s44174-025-00279-4
10.1007/s44174-025-00308-2,Development of Toughened Poly (lactic acid) by Melt Blending with Poly (butylene adipate-co-terephthalate) Using Epoxidized Castor Oil as a Compatibilizer for Biomedical Applications,"Poly (lactic acid) (PLA) is a bioderived and biodegradable thermoplastic widely used in various applications; however, its brittleness limits its mechanical performance. To address this issue, this study develops fully biodegradable PLA/Poly (butylene adipate-co-terephthalate) (PBAT) blends compatibilized with epoxidized castor oil (ECO), providing a sustainable alternative to conventional non-biodegradable compatibilizers. PLA/PBAT blends with varying ECO concentrations (0.5, 1.0, and 1.5%) were prepared via melt mixing and characterized using multiple techniques. Fourier transform infrared (FTIR) spectroscopy confirmed effective interactions between ECO, PLA, and PBAT, enhancing compatibility. Thermal properties were analyzed using differential scanning calorimetry (DSC), while contact angle measurements demonstrated an increase in hydrophilicity, confirming their suitability for biomedical applications. Mechanical testing revealed that PLA/PBAT blends with 1.0% ECO exhibited significantly improved elongation at break and impact strength without compromising tensile strength. Field emission scanning electron microscopy (FESEM) showed uniform PBAT dispersion and enhanced interfacial morphology. Furthermore, cell proliferation, adhesion activity, and hemocompatibility assessments confirmed excellent biocompatibility, highlighting their potential for biomedical use. These findings suggest that ECO-modified PLA/PBAT blends offer a promising route for developing high-performance, biodegradable materials suitable for biomedical applications.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s44174-025-00308-2
10.1007/978-3-031-90470-7_6,‘Internet of Things’ and ‘Social Networking’: Containment,"Moving to the post-2000 period, or the post-formation Internet Polity, this chapter begins with the implications of the internet becoming the centred repository of sources, medium of investigation, and object in historicist accounts of recent and contemporary events. Debates on ‘technological determinism Technological determinism ’ are considered here. As events, 9/11 and the 2000 dot-com crash are pegged as turning points. A broad argument is proposed about the condition of the Internet Polity thereafter. It is suggested that it became contained in two moves during the 2000s. This containment involved, first, a space of the internet opening beyond the scope of the Internet Polity. This space incorporated data exchanges between ‘smart’ objects, unsupervised systems, and machine-learning systems. Second, much of the Internet Polity discourse and collective life became concentrated in very large platforms, which have global reach, local penetration, and data-management standards. This move facilitated the burgeoning data market and fed into the first move. The two moves are outlined by focusing on two catchwords and related terms. The first is addressed via the connotations of ‘Internet of Things’ and ‘smart’ objects, and the second by pausing on ‘social networking’ (on ‘sites’ or ‘platforms’). This chapter, and the study, concludes by briefly reconsidering the formative first principles of the Internet Polity, and pinpointing areas for further investigations.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-031-90470-7_6
10.1007/978-3-032-00983-8_5,Survey on Data Mining and Machine Learning Methods Used in Analyzing Tweets,"It is observed that the Mental illness by the actions and individual emotions and expressions towards a particular situation. It indicates that American Psychiatric Association that has 19% of people experience mental illness. Nearly 4.1% of people [ 1 ] are seriously affected by mental illness. In 2019, World Health Organization(WHO) reported that 264 million people suffer from mental disorders. With the technological growth and affordable internet access, social media usage and impacts are increased in society. Users use social networks to show their emotions, views, and comments related to mental health on various events and themselves. Different intelligent methods that analyze tweets related to depression are summarized. New research areas in analyzing data on social networks are discussed. This article highlights the data mining and machine learning methods associated with mental health using Twitter data.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-032-00983-8_5
10.1007/978-3-032-03028-3_1,A Subjective Pattern Mining Literature Survey,"This survey paper covers about three decades of research on pattern discovery. We consider some of the major breakthroughs about constraint-based data mining and several nice results about interesting pattern set discovery. We then focus on recent approaches for a cross-fertilization between pattern discovery and neural-based Machine Learning approaches. Specifically, neural methods have been developed for pattern mining and pattern set mining, enabling more efficient exploration of structural motifs in complex datasets. Additionally, hybrid approaches integrating Explainable AI (XAI) techniques have emerged, aiming to enhance the interpretability and transparency of machine learning models. We finally illustrate to what extent our colleague Arno Siebes has contributed to the considered topics.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-032-03028-3_1
10.1007/978-3-032-00979-1_2,Underlying Concepts and Technologies,"To understand blockchain and distributed ledger solutions, one should also understand the underlying technologies and concepts that make up, or at least have influenced, the creation of blockchain technology. Only that way we can hope to understand how the idea of Bitcoin and blockchain saw the light of day. You can simply pass through this section, but you will see that if you are willing to take the time to understand what underlying principles have helped to define blockchain, it will give you an edge once we start to dive deeper into blockchain itself.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-032-00979-1_2
10.1007/978-3-032-00979-1_3,Bitcoin,"From all cryptocurrencies and blockchain networks, Bitcoin was the first and arguably to this day the most famous of them all. It was the first coin that based itself not on a banking system, a centralized government and/or a payment system but is in fact completely decentralized. The network is completely trustless and trust is based on the actions of all the nodes in the network. Consensus is needed to move forward and is the lifeblood of the network. Bitcoin is also the proponent of what is currently called ‘blockchain 1.0’ or the first type of blockchain and blockchain implementation to see the light of day. Within the network the proof of work algorithm is being used, more specifically it is based on the secure hash algorithm 256, better known as SHA-256 (see earlier for detailed explanation)",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-032-00979-1_3
10.1007/978-3-031-93802-3_7,Unveiling Power Laws in Graph Mining: Techniques and Applications in Graph Query Analysis,"Power laws play a crucial role in understanding the structural and functional properties of real-world graphs, influencing various aspects of graph mining and query processing. This paper explores the prevalence of power-law distributions in large-scale graph structures and their implications for graph query analysis. We investigate techniques for efficiently mining graphs that exhibit power-law characteristics, leveraging these distributions to optimize query performance and scalability. Our study presents a comprehensive review of existing methodologies for detecting power-law behavior in graphs, highlighting their impact on graph traversal, indexing, and query execution. We also examine algorithmic optimizations tailored for power-law graphs, including degree-based indexing, community-aware search techniques, and efficient subgraph matching approaches. Furthermore, we discuss the applications of power-law principles in diverse domains such as social network analysis, bioinformatics, and knowledge graphs. Through empirical analysis on real-world datasets, we demonstrate how power-law-aware techniques improve query efficiency and reduce computational complexity in large graph databases. The findings of this study offer valuable insights into the interplay between graph topology and query optimization, paving the way for enhanced graph mining frameworks. Our work contributes to the development of more scalable and intelligent graph query processing systems, with broad implications for data-driven decision-making.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-031-93802-3_7
10.1007/978-3-032-03028-3_3,Did this Leopard Change his Spots?,"On the occasion of Arno Siebes’ retirement, we revisit pattern mining to explore Arno-centric bibliographic data and highlight some trends in the output of his scientific career. By using pattern condensed representations and redescription mining, we shed new light on Arno’s work and retrace his career. Interestingly, we show that Arno’s data do not compress well, reflecting a particularly varied publication activity where redundancy is limited. Finally, we explore bibliographic data of his most frequent co-authors, Matthijs van Leeuwen and Jilles Vreeken , former PhD students of his, in order to determine if they stay in the lane that they explored under their supervisor, or branched out into new areas.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-032-03028-3_3
10.1007/978-3-032-02215-8_7,An Enhanced FP-Growth Algorithm with Hybrid Adaptive Support Threshold for Association Rule Mining,"Finding frequent itemsets remains challenging due to manual threshold specification requirements in existing algorithms. This paper presents an Enhanced FP-Growth algorithm incorporating a hybrid adaptive support threshold that combines statistical variance analysis, frequency distribution patterns, and transaction density metrics. The algorithm automatically adjusts support levels based on dataset characteristics, eliminating manual threshold tuning. Experimental evaluation on five benchmark datasets against Aprior, FP-growth, and FP-Max shows our Enhanced FP-Growth consistently achieves superior execution time and improved memory efficiency. The hybrid threshold mechanism dynamically calibrates according to dataset characteristics, offering substantial efficiency gains across diverse data types.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-032-02215-8_7
