f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,abstrak_id
-0.18787678,-0.12537281,-0.48232284,0.5489483,-0.051382057,-0.16764101,0.016427299,-0.6277456,-0.53599906,-0.31208232,-0.4387746,-0.05673035,0.24683298,0.4212868,0.47390747,0.31448808,-0.30285448,0.1207591,-0.16051511,0.020758491,0.42152193,0.07814753,0.44120345,-0.32958335,0.5301026,-0.12048037,0.4215381,0.034933817,0.8062391,-0.13103251,-0.5322965,0.6757819,0.13731359,-0.46525565,-0.120170645,0.22123612,0.037454084,0.07924275,0.61467737,-0.21294437,-0.0237196,-0.3251146,0.38878998,0.4180423,0.35933256,0.1757124,0.20486878,0.11845781,-0.38123104,0.332271,0.23146452,0.12671064,-0.17460974,0.21575522,0.1677803,0.29190218,"Aplikasi nyata pemanfaatan teknologi informasi dan komunikasi adalah pada bidang layanan administrasi akademik perguruan tinggi, salah satunya sistem portal akademik Universitas Trunojoyo Madura. Implementasi dalam proses penyelenggaraannya sering menemui banyak kendala, baik teknis maupun non teknis. Penelitian ini bertujuan untuk mengetahui kepuasan pelanggan berdasarkan analisis indeks kepuasan pelanggan ditinjau dari Webqual 4.0 dan untuk mengetahui fokus perbaikan mutu terhadap pelayanan website portal akademik Universitas Trunjoyo Madura berdasarkan Importance Performance Analysis ditinjau dari Webqual 4.0.

	Penelitian ini merupakan penelitian kuantitaif deskriptif, digunakan untuk mengetahui gambaran, deskripsi, atau lukisan secara sistematis, faktual dan akurat mengenai kualitas pelayanan jasa online yang diberikan kepada mahasiswa.Sampelpenelitianiniadalahmahasiswaangkatan 2009/2010, teknik sampel yang digunakan teknik Stratified Random Sampling dengan alat analisis Indeks Kepuasan Pelanggan dan analisis Tingkat Kepentingan – Kinerja. Hasil penelitian didapat skor Indeks Kepuasan Pelanggan (IKP) sebesar 60.42% dan masuk dalam kategori “cukup puas”, sedangkan Diagram  Kartesius Importance Performance menunjukkan bahwa terdapat  tiga atribut yang menjadi prioritas utama perbaikan mutu yakni Situs portal akademik Universitas Trunojoyo Madura memberikan informasi administrasi dan akademik mahasiswa yang jelas,detail dan ter update (KI 4), Informasi administrasi dan akademik disitus portal akademik UTM dapat dipercaya  (KI 3), Melalui portal UTM, pengguna merasa aman bahwa data akademik mahasiswa (KRS, KHS, Transkrip, data personal) sesuai (KIP 4).

Kata kunci : website, importance performance, webqual, indeks kepuasan pelanggan."
-0.5575547,0.15453357,-0.60565287,0.5692482,-0.22367118,0.012987013,0.12013956,-0.8106279,-0.38478446,-0.50708455,-0.6546723,-0.2841472,0.40859663,0.5747583,0.3904555,0.29067823,-0.49115166,-0.13040964,-0.31708127,-0.06657352,0.44505274,0.1325224,0.48972097,-0.42015457,0.8104383,-0.26809266,0.48234335,0.018969806,1.0804139,-0.24695122,-0.38771203,1.0559599,0.27407157,-0.6817512,-0.14741313,0.42182082,0.04637883,0.15596373,0.51648074,-0.33728376,-0.0068330276,-0.2990457,0.31878927,0.38530114,0.5256911,0.20989715,0.013531738,0.17011529,-0.28689608,0.18064354,0.64547896,0.09941986,-0.27022436,0.39797407,-0.09846871,0.3993899,"Tujuan penelitian ini adalah untuk mengetahui persepsi brand association menurut pelanggan pakaian Kiddrock (studi pada distro Cranberries Pamekasan). Penelitian ini menggunakan metode deskriptif, dengan  metode survei.

Populasi penelitian ini adalah pelanggan pakaian Kiddrock di distro Cranberries dan Sampel dalam penelitian ini adalah 70 orang responden di distro Cranberries pada bulan Desember 2012. Metode pengambilan sampel yang digunakan adalah sampling aksidental. Metode pengumpulan data dengan cara penelitian lapangan (field research) dengan membagikan kuesioner dan riset perpustakaan data. Teknik pengolahan data yang digunakan ialah pengolaha data dengan bantuan perangkat lunak SPSS versi 16 (uji validitas dan uji reabilitas) dan menggunakan skala likert.

Persepsi konsumen terhadap brand association terdiri dari beberapa dimensi, yaitu: dimensi jaminan, dimensi identifikasi pribadi, dimensi identifikasi sosial, dimensi status, dimensi kesediaan menerima perluasan merek, dan dimensi kesediaan untuk merekomendasikan merek. Hasil analisis menunjukan bahwa persepsi brand association menurut pelanggan pakaian Kiddrock di distro Cranberriess lebih di apresisasikan pada dimensi jaminan.



Kata kunci : Brand Association, Presepsi, Kiddrock, Cranberries."
-0.029168872,0.08007342,-0.8495709,0.7473646,0.09547462,-0.20903492,-0.10845395,-0.6157943,-0.74976724,-0.2681865,0.0050182515,-0.37130445,-0.24211088,0.3048708,0.8613353,0.5691093,-0.08985982,0.30604592,0.18935084,-0.05940433,0.45120272,0.5047426,0.69720435,-0.23774052,0.70296913,0.30761173,0.9412602,0.026268099,1.0424308,-0.3352141,-1.170046,0.6535563,0.04579022,-0.44990262,0.10614561,0.23127764,0.2797582,0.15779647,0.8220504,-0.39594594,-0.20660825,-0.5598233,0.7716781,0.61425,0.5766286,0.59688216,0.5065982,0.34649515,-0.5334324,0.40717757,0.14421451,0.34727675,-0.3480348,0.25615144,-0.094244175,-0.023836154,"ABSTRAK

Satiyah, Pengaruh Faktor-faktor Pelatihan dan Pengembangan Terhadap Produktivitas Kerja Dinas Kelautan dan Perikanan Bangkalan. Dibawah bimbingan Dra.Hj.S.Anugrahini Irawati,MM dan  Helmi Buyung Aulia,S,ST.SE,M.MT

Dalam upaya meningkatkan produktivitas kerja tidaklah mudah, oleh karena itu salah satu usaha agar produktivitas meningkat adalah menerapkan program pelatihan dan pengembangan sumber daya manusia (SDM) perlu dilaksanakan dalam instansi agar produktivitas yang tinggi dapat tercapai dengan meningkat kemampuan pegawai agar dapat bekerja secara efektif dan efisien. Dengan adanya pelatihan dan pengembnagan diharapkan pegawai juga mampu menyesuaikan diri dengan kebutuhan-kebutuhan baru atas sikap, tingkah laku keterampilan dan pengetahuan sesuai dengan tuntutan perubahan. Dengan adanya pelatihan dan pengembangan pegawai yang baik dapat mendukung terciptanya suasana kerja yang kondusif dalam instansi, sehingga dengan sendirinya produktivitasi kerja akan meningkat.

Tujuan penelitian ini adalah untuk mengetahui seberapa besar Pengaruh Faktor-faktor Pelatihan dan Pengembangan Terhadap Produktivitas Kerja Dinas Kelautan dan Perikanan Bangkalan. Untuk mengukur dan menganalisa hubungan antara kedua variabel di atas, peneliti menggunakan pendekatan observasional analitik, yaitu melakukan pengamatan secara langsung kepada responden dengan penyebaran kuisioner untuk dianalisis. Penelitian ini merupakan penelitian populasi dengan 30 responden sebagai sampel serta diolah dengan SPSS Versi 13.00 dan dianalisis dengan menggunakan metode statistik, yaitu metode non probality sampling secara simple random sampling.

Kesimpulan penelitian ini adalah (1a). Faktor-faktor pelatihan dan pengembangan yang terdiri dari, perbedaan individu pegawai (X1), hubungan dengan analisis jabatan (X2), motivasi (X3), partisipasi aktif (X4), seleksi peserta (X5), seleksi  instruktur (X6) dan metode pelatihan dan pengembangan (X7) mempunyai pengaruh simultan terhadap produktivitas kerja pegawai Dinas Kelautan dan Perikanan Kabupaten Bangkalan. Terbukti dengan nilai koefisien determinasi berganda (R2) atau R square = 0,751, Fhitung 9,500 lebih besar dari Ftabel 2,37. (1b) Faktor hubungan dengan analisis jabatan tidak berpengaruh secara parsial terhadap produktivitas kerja pegawai Dinas Kelautan dan Perikanan Kabupaten Bangkalan. (2) Pengujian Hipotesis kedua menunjukkan bahwa variabel motivasi (X3) tidak terbukti, karena dilihat dari nilai thitung Sebesar 6,442 menunjukkan bahwa seleksi peserta (X5) yang mempunyai pengaruh (dominan) terhadap produktivitas kerja pegawai pada instansi Dinas Kelautan dan Perikanan Bangkalan. 



Kata kunci : Dinas Kelautan dan Perikanan, Faktor-faktor Pelatihan dan Pengembangan,  Produktivitas Kerja."
-0.03817744,0.68616605,-0.8184872,0.9943744,0.09971213,-0.28562868,0.119406395,-0.61555034,-0.67191124,-0.33776626,0.22739731,-0.88963866,-0.39752725,0.33870924,1.1225604,0.31873864,-0.15424651,0.36123908,0.40468884,-0.6500321,0.75990814,0.64177513,0.9462119,-0.54651827,1.0477878,0.8448212,1.0783173,0.034920655,1.7225752,-0.6092478,-1.7944705,1.297914,-0.025746323,-0.49808052,0.38298875,-0.02560915,0.61348826,0.32815766,0.7607341,-0.69601476,-0.50706106,-0.49152225,0.54791796,0.8541551,0.7585327,1.0548949,0.5722719,0.33566648,-0.87849116,0.81275004,0.13459629,0.3201613,-0.40239984,0.29060897,-0.1088505,-0.013740387,"Abstrak

Penelitian ini menggunakan metode kuantitatif, yang menekankan pada pengujian hipotesis. Variabel yang digunakan pada penelitian ini adalah kepemimpinan(X1), kompensasi (X2). Penelitian ini dilaksanakan di Kantor Dinas Pendidikan Kabupaten Sampang dan sampel yang digunakan adalah sebanyak 50 orang yang terdiri dari pegawai negeri sipil dan non PNS. 

Hipotesis pertama menjelaskan bahwa variabel bebas secara bersama–sama mempunyai hubungan yang signifikan secara simultan antara kepemimpinan (X1) dan kompensasi (X2) terhadap kinerja pegawai (Y), hal ini terbukti dengan nilai Fhitung pada tingkat ? = 5% sebesar 11,645 dengan nilai R2 sebesar 0,311. 

Hipotesis kedua menjelaskan bahwa variabel kompensasi sebagai variabel yang mempunyai pengaruh dominan, hal ini terbukti dengan nilai t hitung 3,072 ini berarti bahwa terdapat pengaruh positif dan signifikan secara parsial antara variabel bebas (X2) terhadap variabel terikat (Y). 

Kesimpulan penelitian ini adalah pengujian hipotesis pertama menunjukkan bahwa berdasarkan pengujian statistik secara simultan, variabel  bebas memiliki pengaruh yang signifikan terhadap variabel terikat. Pengujian hipotesis kedua membuktikan bahwa variabel kompensasi (X2) merupakan variabel yang berpengaruh dominan terhadap kinerja pada pegawai Dinas Pendidikan Kabupaten Sampang. 

Kata kunci : Kepemimpinan, Kompensasi, Kinerja"
-0.58000076,0.43820882,0.13957301,0.5796061,0.34773046,-0.5192877,0.20350294,-0.40626717,-0.37207797,-0.39489034,-0.7006662,-0.14087546,-0.22377089,-0.034708597,0.24313562,0.41823173,-0.15267503,-0.033995513,-0.0025044458,0.22140768,0.096546866,0.4014438,0.40282497,-0.28290758,0.49560714,0.17762952,0.98004574,-0.009806054,0.21823367,0.03122874,-0.93685335,0.9263749,-0.14059775,-0.21540362,-0.53559035,0.15091264,0.35085008,0.30085742,0.69486344,-0.113814354,0.0062315445,-0.35996237,0.5392693,0.4985203,0.27761278,0.28877792,0.39941227,0.36085698,-0.48235777,-0.185161,0.32243514,0.18315794,0.123966135,0.16402535,0.41617602,0.12994611,"Hasil dari penelitian ini dari perhitungan Credit Risk Ratio menunjukan bahwa NPL Pada PD. BPR Bank Daerah Lamongan selama empat tahun (2008-2011) mengalami penurunan hal ini terlihat dari tingkat resiko pada tahun 2008 yang sebesar 8.893.499.978 atau sebesar 9,91%, tahun 2009 sebesar 7.501.778.630 atau sebesar 6,68%, tahun 2010 sebesar 7.986.193.006 atau sebesar 5,40% dan tahun 2011 sebesar 6.555.778.682 atau sebesar 4,88%.

Kesimpulan penelitian ini adalah tingkat resiko pada PD. BPR Bank Daerah Lamongan dari tahun (2008-2011) mengalami penurunan tingkat resiko dan pada tahun 2011 NPL 4,88% dikatagorikan baik berdasarkan ketentuan Bank Indonesia yaitu dengan syarat NPL maksimal sebesar 5%.

Kata kunci : Credit Risk Ratio dan Non Performing Loan."
-0.28326464,0.35833666,-0.69491804,0.9174495,-0.07595516,-0.31618154,0.30004853,-0.6662315,-0.69384533,-0.3480645,0.14260896,-0.71578926,0.003946712,0.42461616,1.2804406,0.030704873,-0.420661,0.36885232,0.35515442,-0.42272642,0.599302,0.13923258,1.1088054,-0.67050546,1.0926523,0.68876594,0.6621515,-0.09811636,1.6337148,-0.44452944,-1.3274404,1.1853046,0.13474333,-0.67105603,0.1309327,0.30874562,0.37453717,0.41139042,0.73892254,-0.7357256,-0.37446064,-0.5665341,0.3038725,0.76321363,0.9962847,0.7379326,0.38731956,-0.0036547037,-0.85156107,0.85593206,0.29246426,0.27916357,-0.5058358,0.26873037,0.16677535,0.30424693,"ABSTRAK



Tujuan penelitian ini adalah untuk mengidentifikasi variabel-variabel yang mempengaruhi kepuasan konsumen baik secara simultan maupun parsial. Metode yang digunakan yaitu dengan metode kuantitatif dengan populasi seluruh konsumen Depot Barokah Prambon yang menggunakan pelayanan dari Depot Barokah Prambon dengan jumlah sampel sebanyak 60 responden menggunakan teknik Accidental Sampling. Teknik analisis yang digunakan adalah analisis regresi linier berganda. Hasil penelitian menunjukkan bahwa variabel independen yang terdiri dari variabel bukti fisik (X1), kehandalan (X2), dan jaminan (X4) secara parsial berpengaruh signifikan terhadap kepuasan konsumen (Y), sedangkan variabel independen daya tanggap (X3) dan empati (X5) berpengaruh tidak signifikan terhadap variabel dependen kepuasan konsumen (Y), Serta variabel jaminan (X4) mempunyai pengaruh yang paling besar terhadap kepuasan konsumen (Y). Sedangkan secara simultan menunjukkan semua variabel independen kualitas pelayanan (X) secara simultan berpengaruh signifikan terhadap variabel dependen kepuasan konsumen (Y).



Kata Kunci : Kualitas Pelayanan, Bukti Fisik, Kehandalan, Daya Tanggap, Jaminan, Empati, dan Kepuasan Konsumen."
-0.37568462,-0.18021946,-0.82830554,0.8665216,-0.21162602,-0.2772973,0.32413575,-0.98711926,-0.93962985,-0.35146454,-0.18282738,-0.35445237,0.29991624,0.52474964,1.2078366,-0.11276824,-0.57597584,0.23843957,0.20928329,-0.21727017,0.56511253,-0.34468302,1.0715505,-0.46082425,0.84367764,0.124826565,0.1834634,-0.19797449,1.489593,-0.35867447,-0.62113774,0.9159688,0.11059078,-0.6427949,-0.10238195,0.5495717,-0.16039169,0.33949912,0.8051211,-0.5979478,-0.28842518,-0.38394055,0.171448,0.45652926,1.0819068,0.12826775,0.3459698,-0.19941743,-0.5590475,0.83724946,0.32413045,0.1837474,-0.60520744,0.24055071,0.4554241,0.5373127,"ABSTRAK

Haryono Arifin, Pengaruh Perilaku Konsumen Terhadap Keputusan Pembelian Produk Honda Merek Vario 

(Studi Pada Dealler Surya Agung Motor Bangkalan).



Tujuan penelitian ini adalah untuk : (1) mengetahui seberapa besar pengaruh perilaku konsumen terhadap keputusan pembelian Honda Merek Vario di Dealer Surya Agung Motor Bangkalan (2) Untuk mengetahui variabel manakah diantara perilaku konsumen yang terdiri dari kebudayaan, sosial, pribadi dan psikologis yang dominan dalam keputusan pembelian konsumen terhadap Honda Merek Vario. Penelitian ini menggunakan pendekatan kuantitatif, yaitu melakukan pengamatan secara langsung kepada responden dengan penyebaran kuesioner untuk dianalisa dan penelitian ini merupakan penelitian yang menggunakan populasi sebanyak 50 responden, konsumen yang melakukan pembelian Honda Merek Vario di Dealer Surya Agung Motor Bangkalan yang dijadikan responden serta dianalisis dengan SPSS Versi 16.00

Kesimpulan penelitian ini adalah (1) Pengujian hipotesis pertama menunjukkan bahwa variabel perilaku konsumen (kebudayaan, sosial, pribadi dan psikologis) berpengaruh secara simultan terhadap keputusan pembelian Honda merek Vario. (2) Pengujian hipotesis kedua menunjukkan bahwa variabel psikologis adalah variabel yang berpengaruh dominan.

Kata kunci: Kebudayaan, Sosial, Pribadi, Psikologis, Keputusan Pembelian."
0.14758846,0.4172065,-0.7964632,0.94600314,0.21663782,-0.3589139,-0.008503215,-0.58834916,-0.7298766,-0.22417665,0.19249362,-0.6609011,-0.55603635,0.2640254,1.0291016,0.3679077,0.04086996,0.3634546,0.35163698,-0.49985948,0.6592007,0.661121,0.8371385,-0.38036254,0.8664685,0.7657245,1.0228997,-0.088947445,1.4202952,-0.49799478,-1.5480677,1.0917312,-0.1745577,-0.32410517,0.3303395,-0.083887875,0.5059863,0.23927341,0.73714983,-0.5523281,-0.46429905,-0.4718837,0.62267977,0.7912757,0.5009815,0.8427579,0.599385,0.38783416,-0.8191988,0.7539932,-0.08372571,0.32921788,-0.32421997,0.1931577,-0.035195332,-0.17790556,"ABSTRAK

	Dharma Abidin Syah,Kesimpulan: (1) Terdapat pengaruh signifikan antara variabel tipe kepemimpinan (Autoritarian, Laissez-Faire, dan Demokratis), secara simultan terhadap variabel Prestasi Kerja pegawai di kantor Kecamatan Pangarengan Kabupaten Sampang. Hasil uji F anova menunjukan bahwa nilai Fhitung (6,459) > Ftabel (2,92). Variabel tipe kepemimpinan (Autoritarian, Laissez-Faire, dan Demokratis), secara simultan memberikan kontribusi sebesar 42,7% terhadap Prestasi Kerja pegawai.(2) Tidak terdapat pengaruh signifikan antara variabel kepemimpinan Tipe Autoritariansecara parsial terhadap Prestasi Kerja pegawaidikantor Kecamatan Pangarengan Kabupaten Sampang. Hasil uji t menunjukan bahwa nilai t hitung (0,652) < t tabel (2,045). Secara parsial variabel kepemimpinan Tipe Autoritarian memberikan kontribusi sebesar 1,61% terhadap variabel Prestasi Kerja pegawai. (3) Tidak terdapat pengaruh signifikan antara variabel kepemimpinan Tipe Laissez-Fairesecara parsial terhadap Prestasi Kerja pegawaidikantor Kecamatan Pangarengan Kabupaten Sampang.

	Hasil uji t menunjukan bahwa nilai t hitung (1,617) < t tabel (2,045). Secara parsial variabel kepemimpinan Tipe Laissez-Faire memberikan kontribusi sebesar 9,12% terhadap variabel Prestasi Kerja pegawai. (4) Terdapat pengaruh signifikan antara variabel kepemimpinan Tipe Demokratis secara parsial terhadap Prestasi Kerja pegawaidikantor Kecamatan Pangarengan Kabupaten Sampang. Hasil uji t menunjukan bahwa nilai t hitung (3,624) > t tabel (2,045). Secara parsial variabel kepemimpinan Tipe Demokratis memberikan kontribusi sebesar 33,52% terhadap variabel Prestasi Kerja pegawai. (5) Variabel Tipe Demokratis mempunyai nilai koefisien determinasi lebih besar daripada variabel bebas lainya dan merupakan variabel dominan berpengaruh terhadap variabel Prestasi Kerja pegawai dikantor Kecamatan Pangarengan Kabupaten Sampang

Kata Kunci: Tipe Kepemimpinan, Prestasi Kerja, Pegawai."
-0.009546847,0.28454477,-0.8185626,0.76074404,0.05524737,-0.2261864,0.023313245,-0.73106766,-0.74074644,-0.42420813,-0.18767245,-0.4989628,-0.060300305,0.52311796,0.8702852,0.52117014,-0.26722485,0.2951308,0.09420008,-0.37476057,0.8103905,0.50183,0.69979167,-0.4125772,0.8563817,0.26568744,0.8619926,0.056376405,1.39388,-0.3234435,-1.3907862,1.161211,0.11350787,-0.58241284,0.16046704,0.07166453,0.36528045,0.1704575,0.7413822,-0.4583449,-0.3324726,-0.37826872,0.54628545,0.5728653,0.50539917,0.65752727,0.4447973,0.39969024,-0.6245859,0.6286624,0.18015169,0.12348569,-0.15510868,0.42224962,-0.052801915,0.16743289,"Abstrak



Aththaariq, Pengaruh Kompetensi Dosen Terhadap Kinerja Dosen Di Universitas Trunojoyo Madura. Dibawah bimbingan Dr.RM Moch Wispandono,.S.E,.MS dan Dr. Muhammad Alkirom Wildan,S.E.,M.Si.

Penelitian ini bertujuan untuk menganalisis pengaruh kompetensi pedagogik (X1), kompetensi profesional (X2), kompetensi sosial (X3), dan kompetensi kepribadian (X4), terhadap variabel terikat kinerja dosen di Universitas Trunojoyo Madura.

Data yang digunakan dalam penelitian ini adalah data primer, data tersebut diperoleh dari hasil penyebaran kuesioner,  sedangkan yang menjadi responden dalam penelitian ini adalah dosen di Universitas Trunojoyo Madura yang sudah tersertifikasi aktif mulai dari tahun 2008-2011 berjumlah 78 dosen, teknik pengambilan sampel menggunakan judgmental sampling dengan menggunakan metode analisis regresi linier berganda.

Dari hasil penelitian yang telah dilakukan berdasarkan hasil analisis dapat disimpulkan bahwa kompetensi pedagogik (X1), kompetensi profesional (X2), kompetensi sosial (X3), dan kompetensi kepribadian (X4), berpengaruh secara signifikan terhadap variabel terikat kinerja dosen (Y) baik secara simultan maupun parsial. Pada nilai koefisiensi determinasi berganda (R2) menunjukkan nilai sebesar 0.796 yang artinya 79.6% kinerja dosen dipengaruhi oleh perubahan semua variabel bebas yang telah diteliti dan sisanya 20.4% dipengaruhi oleh variabel yang tidak diteliti. Sedangkan variabel yang memiliki pengaruh dominan adalah variabel kompetensi pedagogik dengan nilai signifikansi sebesar 0.000 dan memiliki nilai beta  sebesar 0.426. 



Kata kunci: Kompetensi pedagogik, kompetensi profesional, kompetensi sosial, kompetensi kepribadian,dan kinerja dosen."
-0.4874183,0.28721306,-0.47690213,0.73555595,-0.09491015,-0.14476857,0.18504404,-0.7362085,-0.4713707,-0.4555671,-0.3493477,-0.45862177,0.14660332,0.3915333,0.6297883,0.12042768,-0.41170985,0.027225157,0.0059452024,-0.24302334,0.43750623,0.12732416,0.6989713,-0.47112682,0.82196164,0.12669504,0.5668802,0.0013221487,1.2134764,-0.39174622,-0.80598545,1.0377675,0.14979549,-0.5559281,-0.11238603,0.3336948,0.18338355,0.28686017,0.6398001,-0.4023047,-0.148688,-0.33022973,0.33154568,0.5751735,0.7349727,0.3913501,0.25629526,0.06756413,-0.5082187,0.43078652,0.39893097,0.23356223,-0.38753903,0.26471448,0.09383262,0.34049007,"Tujuan penelitian ini adalah untuk mengidentifikasi variabel-variabel yang mempengaruhi minat ulang nasabah BRI untuk menggunakan kembali layanan Internet Banking BRI baik secara parsial maupun simultan. Penelitian ini dilakukan dengan metode kuantitatif dimana populasi dalam penelitian ini adalah semua nasabah BRI di kota Bangkalan yang menggunakan layanan Internet Banking BRI dan diperoleh sampel sebanyak 50 responden yang diambil dengan teknik purposive sampling. Teknik analisis menggunakan regresi linier berganda. Hasil penelitian menunjukkan bahwa, (1) secara simultan terjadi pengaruh yang signifikan antara variabel bebas (persepsi manfaat, persepsi kemudahan, keamanan, dan ketersediaan fitur) terhadap minat ulang menggunakan internet banking, (2) secara parsial, menunjukkan bahwa semua variabel bebas berpengaruh positif dan signifikan terhadap minat ulang menggunakan layanan internet banking, kecuali pada variabel persepsi kemudahan, kecuali pada variabel persepsi kemudahan.

Kata Kunci: Persepsi Manfaat, Persepsi Kemudahan, Keamanan, Ketersediaan Fitur, Minat Ulang Menggunakan Internet Banking."
